No,업종명,업소명,소재지,소재지전화번호,데이터기준일자,경도,위도,상태
41,제과점영업,리나스 인천공항점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-3501,2020-09-15,126.449105797309,37.4575365974582,정좌표
42,제과점영업,던킨도너츠 인천공항3호점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
43,제과점영업,파리바게뜨 인천공항 에어사이드점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7181,2020-09-15,126.449105797309,37.4575365974582,정좌표
44,제과점영업,앤티앤스 인천공항 2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-0956,2020-09-15,126.449105797309,37.4575365974582,정좌표
45,제과점영업,파리크라상 인천공항탑승동점,"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-3502,2020-09-15,126.449105797309,37.4575365974582,정좌표
46,제과점영업,던킨도너츠 영종하늘도시점,"인천광역시 중구 하늘별빛로 71, 110,111호 (중산동, 타임프라자)",,2020-09-15,126.563201658898,37.4895416566233,정좌표
47,제과점영업,파리바게뜨 운서점,"인천광역시 중구 넙디로 13, 101일부호 (운서동)",032-746-0533,2020-09-15,126.506716504764,37.4852574900397,정좌표
48,제과점영업,토모루,"인천광역시 중구 하늘별빛로 71, 타임프라자 107호,604호 (중산동)",032-746-6498,2020-09-15,126.563201658898,37.4895416566233,정좌표
49,제과점영업,산동공갈빵,"인천광역시 중구 우현로49번길 33 (신포동, 1층)",032-764-3449,2020-09-15,126.626494435405,37.4714679755178,정좌표
50,제과점영업,던킨도너츠 인천공항랜드점,"인천광역시 중구 공항로 272, 일반동 4층 FB3(FB-P6-44-1)호 (운서동, 인천국제공항여객터미널)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
51,제과점영업,파리바게뜨 영종스카이,"인천광역시 중구 하늘달빛로 78, 101,102호 (중산동, 영종힐링프라자)",,2020-09-15,126.558747333353,37.4863640099816,정좌표
52,제과점영업,제과주방,"인천광역시 중구 영종해안남로321번길 186, 지하1층 (운서동, 파라다이스시티)",,2020-09-15,126.455768822735,37.4372107964844,정좌표
53,제과점영업,프렌치빌,"인천광역시 중구 신포로 40, 2층 (내동)",,2020-09-15,126.626071495082,37.4722198132962,정좌표
54,제과점영업,커피앳웍스 인천공항1호점(coffee@works),"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-0502,2020-09-15,126.449105797309,37.4575365974582,정좌표
55,제과점영업,커피앳웍스 인천공항2호점(coffee@works),"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-1008,2020-09-15,126.449105797309,37.4575365974582,정좌표
56,제과점영업,잠바주스 인천공항1호점(jamba juice),"인천광역시 중구 공항로 272, 탑승동 3층 (운서동, 인천국제공항여객터미널)",032-743-7175,2020-09-15,126.449105797309,37.4575365974582,정좌표
57,제과점영업,잠바주스 인천공항2호점,"인천광역시 중구 공항로 272, 면세동 3층 (운서동, 인천국제공항여객터미널)",032-743-8209,2020-09-15,126.449105797309,37.4575365974582,정좌표
58,제과점영업,잠바주스 인천공항3호점,"인천광역시 중구 공항로 272, 일반동 4층 (운서동, 인천국제공항여객터미널)",032-743-8211,2020-09-15,126.449105797309,37.4575365974582,정좌표
59,제과점영업,프랑세즈단팥빵,"인천광역시 중구 용유서로 170, 1층 (을왕동)",032-751-2772,2020-09-15,126.38892878969,37.4481722662922,정좌표
60,제과점영업,베이커루이#(Baker Louis#),"인천광역시 중구 화랑목로100번길 73, 103호 (운서동)",032-746-8044,2020-09-15,126.498373117252,37.4944877114652,정좌표
61,제과점영업,우리동네식빵,"인천광역시 중구 흰바위로 22, 상가동 107호 (운서동, 영종2차금호베스트빌)",032-752-6279,2020-09-15,126.487270869393,37.4921340452905,정좌표
62,제과점영업,꿈베이커리,"인천광역시 중구 반달로14번길 14, 1층 101호 (북성동1가)",,2020-09-15,126.601150317673,37.4755075265764,정좌표
63,제과점영업,네스트 델리,"인천광역시 중구 영종해안남로 19-5, 네스트호텔 2층 (운서동)",032-743-9150,2020-09-15,126.425380767929,37.4245585592422,정좌표
64,제과점영업,케이크러버스(CAKELOVES),인천광역시 중구 참외전로 107 (인현동),,2020-09-15,126.630876366579,37.4767382664615,정좌표
65,제과점영업,커피앳웍스 공항전망대점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 4층 (운서동)",032-743-0503,2020-09-15,126.449105797309,37.4575365974582,정좌표
66,제과점영업,커피앳웍스 T2에어사이드점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",032-743-3786,2020-09-15,126.42500735296,37.4784041839528,정좌표
67,제과점영업,파리크라상 인천공항 문화의거리,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 4층 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
68,제과점영업,파리바게뜨 인천공항플라워점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",,2020-09-15,126.42500735296,37.4784041839528,정좌표
69,제과점영업,잠바주스 인천공항T2 2호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",032-743-0080,2020-09-15,126.42500735296,37.4784041839528,정좌표
70,제과점영업,던킨도너츠 인천공항6호점,"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",02-2276-4755,2020-09-15,126.449105797309,37.4575365974582,정좌표
71,제과점영업,던킨도너츠 인천공항7호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",02-2276-4755,2020-09-15,126.42500735296,37.4784041839528,정좌표
72,제과점영업,던킨도너츠 인천공항8호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",02-2276-4755,2020-09-15,126.42500735296,37.4784041839528,정좌표
73,제과점영업,행복한베이커리&카페 인천공항점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 1층 (운서동)",032-743-6611,2020-09-15,126.42500735296,37.4784041839528,정좌표
74,제과점영업,파리크라상 인천공항 에어사이드(T2),"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",032-743-8721,2020-09-15,126.42500735296,37.4784041839528,정좌표
75,제과점영업,파리크라상 인천공항 교통센터(T2),"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
76,제과점영업,잠바주스 인천공항T2 1호점,"인천광역시 중구 공항로 272, 인천국제공항제2교통센터 지하1층 (운서동)",032-743-0074,2020-09-15,126.449105797309,37.4575365974582,정좌표
77,제과점영업,파리바게뜨 인천공항가든점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",,2020-09-15,126.42500735296,37.4784041839528,정좌표
78,제과점영업,커피앳웍스 T2랜드사이드점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 일반동 3층 (운서동)",032-743-3778,2020-09-15,126.42500735296,37.4784041839528,정좌표
79,제과점영업,호앤화 도너츠,"인천광역시 중구 우현로49번길 19, 1층 (신포동)",,2020-09-15,126.627271090639,37.471539152238,정좌표
80,제과점영업,"떡,다온","인천광역시 중구 하늘별빛로 59, 113호 (중산동)",032-747-0770,2020-09-15,126.564278040528,37.488832543009,정좌표
81,제과점영업,던킨 CF인천공항브릿지점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 2층 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
82,제과점영업,잠바주스 인천공항4호점,"인천광역시 중구 공항로 272, 인천공항제1터미널 탑승동 3층 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
83,제과점영업,파스쿠찌 인천공항L/S(2층)점,"인천광역시 중구 공항로 272, 인천공항제1터미널 일반동 2층 (운서동)",032-743-7527,2020-09-15,126.449105797309,37.4575365974582,정좌표
84,제과점영업,파스쿠찌 인천공항탑승동점,"인천광역시 중구 공항로 272, 인천공항제1터미널 탑승동 3층 (운서동)",032-743-7211,2020-09-15,126.449105797309,37.4575365974582,정좌표
85,제과점영업,도레도레 인천공항 교통센터점,"인천광역시 중구 공항로 271, 인천공항 제1교통센터 지하1층 (운서동)",,2020-09-15,126.452346487164,37.4476113081884,정좌표
86,제과점영업,대구근대골목단팥빵,"인천광역시 중구 공항로 271, 인천공항 제1교통센터 지하1층 (운서동)",1666-1883,2020-09-15,126.452346487164,37.4476113081884,정좌표
87,제과점영업,대구근대골목단팥빵,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 지하1층 (운서동)",1666-1883,2020-09-15,126.449105797309,37.4575365974582,정좌표
88,제과점영업,잠바주스 인천공항T2-3호점,"인천광역시 중구 제2터미널대로 446, 인천공항제2터미널 면세동 3층 (운서동)",,2020-09-15,126.42500735296,37.4784041839528,정좌표
89,제과점영업,토모루 베이커리,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 1층 110,111호 (운서동)",032-746-0408,2020-09-15,126.49877821152,37.4922648564282,정좌표
90,제과점영업,파파브로트,"인천광역시 중구 운남로 166, 중구농협종합청사 1층 (운남동)",,2020-09-15,126.533360158278,37.4922024598259,정좌표
91,제과점영업,미왕,"인천광역시 중구 차이나타운로 28, 1층 (북성동2가)",,2020-09-15,126.619059752893,37.4766315520042,정좌표
92,제과점영업,스타파이브,"인천광역시 중구 공항서로 133-1, 1층 (덕교동)",,2020-09-15,126.431119841483,37.4394128718938,정좌표
93,제과점영업,스타파이브(제빵),"인천광역시 중구 공항서로 135, 1층 (덕교동)",,2020-09-15,126.431119841483,37.4394128718938,인근좌표
94,제과점영업,가든카페(Garden cafe),"인천광역시 중구 영종해안남로321번길 186, 1층 (운서동)",,2020-09-15,126.455768822735,37.4372107964844,정좌표
95,제과점영업,파카롱 디저트카페,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 103호 (중산동)",032-751-5469,2020-09-15,126.560443869229,37.4857521672389,정좌표
96,제과점영업,파카롱 베이킹스튜디오,"인천광역시 중구 영종대로 84, 신공항파크빌 205, 206호 (운서동)",,2020-09-15,126.488521983558,37.4949310488121,정좌표
97,제과점영업,브레드판다(BREAD PANDA),"인천광역시 중구 용유로745번길 14-1, 1층 일부층 (을왕동)",,2020-09-15,126.371908244412,37.4670819269624,정좌표
98,제과점영업,잠바주스 인천공항5호점,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 일반동 3층 FB-P5-03호 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
99,제과점영업,빚은 인천공항 kiosk점,"인천광역시 중구 공항로 272, 인천공항 제1여객터미널 일반동 3층 FB-P5-07호 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
100,제과점영업,(주)파리크라상 커피앳웍스 T1키오스크점,"인천광역시 중구 공항로 272, 일반동 3층 출국장, FB-P5-02 인천국제공항 제1여객터미널 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
101,제과점영업,던킨도너츠 T1인천공항키오스크,"인천광역시 중구 공항로 272, 인천공항제1터미널 출국장 3층 FB6(FB-P5-08)호 (운서동)",02-2276-4895,2020-09-15,126.449105797309,37.4575365974582,정좌표
102,제과점영업,유한회사 마미갸또영종도,"인천광역시 중구 흰바위로 51, 롯데마트 1층 일부 (운서동)",,2020-09-15,126.491214270895,37.4926737037966,정좌표
103,제과점영업,(주)신세계푸드이베이커리동인천점2,"인천광역시 중구 인중로 134, 동인천이마트 1층 (신생동)",032-777-8183,2020-09-15,126.629174408638,37.4665518174055,정좌표
104,제과점영업,파리바게트 영종하늘점,"인천광역시 중구 운남로 150, 1층 104,105,106호 (운남동)",032-746-8202,2020-09-15,126.533039108947,37.491056219258,정좌표
105,제과점영업,뚜레쥬르 동인천점,인천광역시 중구 자유공원로 3-12 (인현동),,2020-09-15,126.630653841236,37.4748967175267,정좌표
106,제과점영업,파리바게트 운서프라자점,"인천광역시 중구 백년로128번길 21, 1층 105,106호 (운서동)",032-752-4554,2020-09-15,126.489336540684,37.5009577356079,정좌표
107,제과점영업,PAIN DE 오늘,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 1층 117호 (중산동)",,2020-09-15,126.560772725647,37.4893556229667,정좌표
108,제과점영업,성수동 꿀꽈배기 영종운서역점,"인천광역시 중구 영종대로196번길 19, 지엘플렉스 1층 109호 (운서동)",032-752-2390,2020-09-15,126.499521548098,37.4906002650582,정좌표
109,제과점영업,롤링핀(운서역점),"인천광역시 중구 영종대로 106, 1층 101,102호 (운서동)",,2020-09-15,126.490908305429,37.4948679948401,정좌표
110,제과점영업,파리크라상 커피앳웍스 T1랜드사이드점,"인천광역시 중구 공항로 272, 인천국제공항 제1여객터미널 3층 출국장 FB-P5-05호 일부 (운서동)",,2020-09-15,126.449105797309,37.4575365974582,정좌표
111,제과점영업,파리바게뜨 T1랜드사이드점,"인천광역시 중구 공항로 272, 인천국제공항 제1여객터미널 3층 출국장 FB-P5-05호 일부 (운서동)",02-2276-6377,2020-09-15,126.449105797309,37.4575365974582,정좌표
